_id,operator_registration_number,postal_code,ward_number,ward_name
447796,STR-2102-HRCRVK,M5V,10,Spadina-Fort York
447797,STR-2010-FFCKPB,M6L,5,York South-Weston
447798,STR-2010-JCHDVM,M4G,15,Don Valley West
447799,STR-2111-FZMKVD,M2J,,
447800,STR-2010-HKWKPK,M6N,5,York South-Weston
447801,STR-2107-HQHPHK,M2M,18,Willowdale
447802,STR-2108-GYJVHH,M5V,10,Spadina-Fort York
447803,STR-2108-HGQVHJ,M1E,24,Scarborough-Guildwood
447804,STR-2008-FMKPBC,M4T,11,University-Rosedale
447805,STR-2009-FVRPBD,M6G,11,University-Rosedale
447806,STR-2009-GCXPBF,M1L,20,Scarborough Southwest
447807,STR-2009-GLDPBG,M6J,9,Davenport
447808,STR-2009-GTKPBH,M6J,11,University-Rosedale
447809,STR-2009-HBRPBJ,M2R,6,York Centre
447810,STR-2009-HJXPBK,M4R,8,Eglinton-Lawrence
447811,STR-2009-HSDPBL,M6J,10,Spadina-Fort York
447812,STR-2009-HZKPBM,M6N,9,Davenport
447813,STR-2009-FFFVBB,M6R,4,Parkdale-High Park
447814,STR-2009-GCYVBF,M8Y,3,Etobicoke-Lakeshore
447815,STR-2009-GLFVBG,M2M,18,Willowdale
447816,STR-2009-HBSVBJ,M4E,19,Beaches-East York
447817,STR-2009-HSFVBL,M9B,3,Etobicoke-Lakeshore
447818,STR-2009-HZLVBM,M2L,15,Don Valley West
447819,STR-2009-FFWHBB,M1T,22,Scarborough-Agincourt
447820,STR-2009-FPCHBC,M5A,13,Toronto Centre
447821,STR-2009-GDQHBF,M4G,15,Don Valley West
447822,STR-2009-GLWHBG,M5J,10,Spadina-Fort York
447823,STR-2009-GVCHBH,M2N,18,Willowdale
447824,STR-2009-HSWHBL,M2H,17,Don Valley North
447825,STR-2009-GFFVBF,M5V,10,Spadina-Fort York
447826,STR-2009-GMLVBG,M6J,10,Spadina-Fort York
447827,STR-2009-GVSVBH,M5T,10,Spadina-Fort York
447828,STR-2009-HCYVBJ,M6H,9,Davenport
447829,STR-2009-HLFVBK,M6G,12,Toronto-St. Paul's
447830,STR-2009-JBSVBM,M4V,12,Toronto-St. Paul's
447831,STR-2009-FHCHBB,M8Z,3,Etobicoke-Lakeshore
447832,STR-2009-GPCHBG,M4C,19,Beaches-East York
447833,STR-2009-GWJHBH,M3H,6,York Centre
447834,STR-2009-HDQHBJ,M6J,10,Spadina-Fort York
447835,STR-2009-HLWHBK,M5J,10,Spadina-Fort York
447836,STR-2009-JCJHBM,M6R,4,Parkdale-High Park
447837,STR-2009-FHSVBB,M4J,14,Toronto-Danforth
447838,STR-2009-FQYVBC,M4L,19,Beaches-East York
447839,STR-2009-FYFVBD,M5V,10,Spadina-Fort York
447840,STR-2009-GGLVBF,M1E,24,Scarborough-Guildwood
447841,STR-2009-GPSVBG,M5S,11,University-Rosedale
447842,STR-2009-HMLVBK,M6J,10,Spadina-Fort York
447843,STR-2009-HVSVBL,M5V,10,Spadina-Fort York
447844,STR-2009-FJJHBB,M5V,10,Spadina-Fort York
447845,STR-2009-FRQHBC,M4Y,13,Toronto Centre
447846,STR-2009-FYWHBD,M6B,8,Eglinton-Lawrence
447847,STR-2009-GHCHBF,M5V,10,Spadina-Fort York
447848,STR-2009-GQJHBG,M5B,13,Toronto Centre
447849,STR-2009-HFWHBJ,M5J,10,Spadina-Fort York
447850,STR-2009-HPCHBK,M5V,10,Spadina-Fort York
447851,STR-2009-HWJHBL,M5A,13,Toronto Centre
447852,STR-2009-JDQHBM,M5R,11,University-Rosedale
447853,STR-2009-FJYVBB,M6P,9,Davenport
447854,STR-2009-FZLVBD,M2R,18,Willowdale
447855,STR-2009-GHSVBF,M3J,7,Humber River-Black Creek
447856,STR-2009-GQYVBG,M4W,11,University-Rosedale
447857,STR-2009-GYFVBH,M6B,8,Eglinton-Lawrence
447858,STR-2009-HGLVBJ,M5J,10,Spadina-Fort York
447859,STR-2009-HWYVBL,M5V,10,Spadina-Fort York
447860,STR-2009-JFFVBM,M2M,18,Willowdale
447861,STR-2009-FKQHBB,M1L,20,Scarborough Southwest
447862,STR-2009-FSWHBC,M6G,12,Toronto-St. Paul's
447863,STR-2009-GBCHBD,M1E,24,Scarborough-Guildwood
447864,STR-2009-GJJHBF,M6E,8,Eglinton-Lawrence
447865,STR-2009-GRQHBG,M5A,13,Toronto Centre
447866,STR-2009-GYWHBH,M4L,14,Toronto-Danforth
447867,STR-2009-HHCHBJ,M2H,17,Don Valley North
447868,STR-2009-HQJHBK,M3L,7,Humber River-Black Creek
447869,STR-2009-HXQHBL,M6E,9,Davenport
447870,STR-2009-JFWHBM,M5B,13,Toronto Centre
447871,STR-2009-FLFVBB,M5R,11,University-Rosedale
447872,STR-2009-FTLVBC,M2J,17,Don Valley North
447873,STR-2009-GBSVBD,M5R,11,University-Rosedale
447874,STR-2009-GZLVBH,M6E,9,Davenport
447875,STR-2009-HHSVBJ,M8V,3,Etobicoke-Lakeshore
447876,STR-2009-HQYVBK,M6J,10,Spadina-Fort York
447877,STR-2009-JGLVBM,M6P,4,Parkdale-High Park
447878,STR-2009-FDQKPB,M6H,9,Davenport
447879,STR-2009-FLWKPC,M5V,10,Spadina-Fort York
447880,STR-2009-FVCKPD,M3C,16,Don Valley East
447881,STR-2009-GCJKPF,M8W,3,Etobicoke-Lakeshore
447882,STR-2009-GKQKPG,M9W,1,Etobicoke North
447883,STR-2009-GSWKPH,M2N,18,Willowdale
447884,STR-2009-HBCKPJ,M6G,11,University-Rosedale
447885,STR-2009-HRQKPL,M2J,17,Don Valley North
447886,STR-2009-HYWKPM,M3N,7,Humber River-Black Creek
447887,STR-2009-FFFXPB,M9B,3,Etobicoke-Lakeshore
